Group,Status,Count
Birds,CR,146
Birds,EX (rediscovered),0
Birds,EN,324
Birds,EW,0
Birds,VU,338
Fish,EX (rediscovered),0
Fish,CR,49
Fish,EN,138
Fish,EW,3
Fish,VU,175
Frogs,CR,41
Frogs,EN,30
Frogs,EW,0
Frogs,EX (rediscovered),0
Frogs,VU,41
Invertebrates,EW,0
Invertebrates,EX (rediscovered),0
Invertebrates,CR,92
Invertebrates,EN,80
Invertebrates,VU,44
Mammals,EX (rediscovered),0
Mammals,EW,4
Mammals,CR,29
Mammals,EN,144
Mammals,VU,245
Plants,EW,0
Plants,CR,427
Plants,EN,1230
Plants,EX (rediscovered),5
Plants,VU,1050
Reptiles,CR,44
Reptiles,EN,94
Reptiles,VU,103
Reptiles,EX (rediscovered),0
Reptiles,EW,0
