Sub category threat,Count,Percentage
Invasive weed,581,18.25322023
Agriculture and aquaculture,490,15.39428212
Other natural system modifications,399,12.53534402
Transportation and service corridors,324,10.17907634
Invasive predator,276,8.671065033
Other change in fire regime/trend unspecified,270,8.482563619
Urban and commercial development and maintenance,242,7.602890355
Suppression in fire frequency/intensity,227,7.131636821
Increase in fire frequency/intensity,196,6.15771285
Invasive ungulate,178,5.592208608
