Country,Year,Value
Australia,1950,0.002078609
Australia,1960,0.002081039
Australia,1970,0.00280509
Australia,1980,0.007760466
Australia,1985,4.716700055
Australia,1990,4.739506445
Australia,1995,4.953411268
Australia,2000,5.07762367
Australia,2001,5.081604736
Australia,2002,5.386280767
Australia,2003,5.386472714
Australia,2004,5.414960961
Australia,2005,5.473422002
Australia,2006,5.55480849
Australia,2007,5.618039035
Australia,2008,5.625104606
Australia,2009,5.993009968
Australia,2010,6.002621866
Australia,2011,6.077737295
Australia,2012,11.22754982
Australia,2013,11.24974392
Australia,2014,11.2523838
Australia,2015,11.25244454
Australia,2016,11.48034565
Australia,2017,11.62883806
Australia,2018,40.97328875
Australia,2019,40.97328875
Australia,2020,40.97328875
Australia,2021,40.97328875
Belgium,1950,0
Belgium,1960,0
Belgium,1970,0
Belgium,1980,0
Belgium,1985,0
Belgium,1990,1.512091554
Belgium,1995,1.51726995
Belgium,2000,1.527626741
Belgium,2001,1.527626741
Belgium,2002,1.527626741
Belgium,2003,1.584589094
Belgium,2004,1.613070271
Belgium,2005,10.06680131
Belgium,2006,10.06680131
Belgium,2007,10.06680131
Belgium,2008,10.06680131
Belgium,2009,10.11858526
Belgium,2010,10.67008441
Belgium,2011,36.26689452
Belgium,2012,36.26689452
Belgium,2013,36.26689452
Belgium,2014,36.26689452
Belgium,2015,36.26689452
Belgium,2016,36.26689452
Belgium,2017,36.26689452
Belgium,2018,36.26689452
Belgium,2019,36.26689452
Belgium,2020,36.26689452
Belgium,2021,36.26689452
Canada,1950,0.033238247
Canada,1960,0.072198241
Canada,1970,0.249656652
Canada,1980,0.26867401
Canada,1985,0.288125141
Canada,1990,0.335144263
Canada,1995,0.377404711
Canada,2000,0.4326624
Canada,2001,0.433584557
Canada,2002,0.437184249
Canada,2003,0.493119123
Canada,2004,0.534792539
Canada,2005,0.572231207
Canada,2006,0.578382045
Canada,2007,0.581778894
Canada,2008,0.737297441
Canada,2009,0.746767111
Canada,2010,0.904223594
Canada,2011,0.905727756
Canada,2012,0.905771445
Canada,2013,0.928992345
Canada,2014,0.929000146
Canada,2015,0.953458391
Canada,2016,0.994275183
Canada,2017,2.938853066
Canada,2018,3.136987471
Canada,2019,8.797137021
Canada,2020,8.798009248
Canada,2021,8.798009248
Denmark,1950,0.006333754
Denmark,1960,0.013101327
Denmark,1970,0.023079159
Denmark,1980,4.161102941
Denmark,1985,6.984742594
Denmark,1990,6.990555765
Denmark,1995,7.094585508
Denmark,2000,7.0958002
Denmark,2001,7.0958002
Denmark,2002,7.096320783
Denmark,2003,8.807302038
Denmark,2004,11.45602596
Denmark,2005,16.25076461
Denmark,2006,16.30759487
Denmark,2007,16.35383995
Denmark,2008,16.35436053
Denmark,2009,17.83307521
Denmark,2010,17.83307521
Denmark,2011,17.83324874
Denmark,2012,17.83342227
Denmark,2013,17.83342227
Denmark,2014,17.83481049
Denmark,2015,17.83481049
Denmark,2016,18.23270907
Denmark,2017,18.23713402
Denmark,2018,18.23713402
Denmark,2019,18.23713402
Denmark,2020,18.23713402
