Country,Year,PowerCode,Value
Australia,1950,Units,0.635673865
Australia,1960,Units,0.639003557
Australia,1970,Units,1.100295299
Australia,1980,Units,2.84802681
Australia,1985,Units,3.470388902
Australia,1990,Units,5.120705938
Australia,1995,Units,6.205882384
Australia,2000,Units,7.168500284
Australia,2001,Units,7.211582254
Australia,2002,Units,8.731705538
Australia,2003,Units,8.857908556
Australia,2004,Units,8.989352109
Australia,2005,Units,9.176163449
Australia,2006,Units,9.396705407
Australia,2007,Units,10.27405358
Australia,2008,Units,10.45484676
Australia,2009,Units,11.14512594
Australia,2010,Units,11.46112723
Australia,2011,Units,12.27406638
Australia,2012,Units,13.95680711
Australia,2013,Units,15.55184963
Australia,2014,Units,16.89068424
Australia,2015,Units,18.27716517
Australia,2016,Units,19.0224752
Australia,2017,Units,19.27703691
Australia,2018,Units,19.37882219
Australia,2019,Units,19.38167621
Australia,2020,Units,20.33939401
Australia,2021,Units,20.33939401
Austria,1950,Units,0.649956562
Austria,1960,Units,5.967909735
Austria,1970,Units,6.787541427
Austria,1980,Units,8.716925684
Austria,1985,Units,14.61147399
Austria,1990,Units,16.20343855
Austria,1995,Units,17.62562073
Austria,2000,Units,21.81057115
Austria,2001,Units,22.40561389
Austria,2002,Units,23.64892097
Austria,2003,Units,23.97432827
Austria,2004,Units,24.7369249
Austria,2005,Units,25.01943077
Austria,2006,Units,26.09228811
Austria,2007,Units,26.1485724
Austria,2008,Units,26.24981975
Austria,2009,Units,26.52374534
Austria,2010,Units,26.71680175
Austria,2011,Units,26.78190466
Austria,2012,Units,27.40526234
Austria,2013,Units,27.53461013
Austria,2014,Units,27.69077131
Austria,2015,Units,27.92501308
Austria,2016,Units,28.41172973
Austria,2017,Units,28.41312402
Austria,2018,Units,28.54515315
Austria,2019,Units,29.21892
Austria,2020,Units,29.21892
Austria,2021,Units,29.21892
Belgium,1950,Units,5.887123552
Belgium,1960,Units,5.906810963
Belgium,1970,Units,5.951181098
Belgium,1980,Units,6.006423385
Belgium,1985,Units,6.092519078
Belgium,1990,Units,9.196665482
